HOST_NAME,MAX(HOST_LISTINGS_COUNT),AVG(REVIEW_SCORES_RATING)
Tess - BELVILLA,698,95.000000
Henry & Alice,287,93.500000
Rated,271,75.000000
Martijn,213,90.445344
Ruchi,130,
Michiel And Jane,109,88.673077
Niels En Viv (Welcome Back),108,88.555556
Darryl,96,98.666667
Eva & Kobe,49,97.666667
Ruben,48,93.434783
Brian,38,87.000000
Willem,38,92.123288
Raul,34,94.285714
Greg,32,92.888889
Stefania,29,95.833333
Rama,28,100.000000
Oscar,27,90.068966
Luis,26,90.923077
Giampaolo Antonio,25,80.000000
"Ruben, Sarah & Lindy",24,89.777778
BnB-Beheer,23,88.818182
Milan & Koen,21,84.800000
David,20,95.030303
Robert,19,95.755556
Sammy,19,85.722222
Cap Homes,19,89.000000
Asaf,19,97.200000
Jasper,18,93.711864
Jan,17,95.809524
Annelies,17,95.266667
Huub & Sylvia,16,93.000000
Jennifer,16,96.636364
YourHomie,16,89.000000
Superhost Neil,15,
Feliciano,15,95.133333
Christian,15,94.181818
Gudrun,14,98.000000
Christiaan,14,88.074074
Matthijs,14,93.387097
Valentina,13,91.523810
Henk,13,94.653846
G.,13,86.800000
Geraldine,13,89.142857
Jorge,13,86.545455
Mokumbnb,13,97.000000
The Cabin,12,45.000000
Sweets Hotel,12,96.181818
Manuel,12,97.777778
Mieke,12,94.000000
Sandra,12,95.341463
Niels,12,95.681818
Vacation Rental Connect,11,
Sacha,11,95.222222
Remco,11,95.583333
Short Stay,11,94.000000
Emmett,11,84.142857
Tanya,11,96.444444
G,10,91.000000
Nancy & Arthur,10,98.000000
Julia,10,95.555556
Aeon,10,100.000000
Dirk,10,87.793103
Laura,9,95.716049
Louise,9,96.117647
Erik,9,94.784314
Simone,9,93.208333
Mike,9,91.961538
Yays,9,90.000000
Bas,8,96.090909
Gert-Jan,8,85.800000
Wamme,8,94.875000
Alina,8,93.800000
Jacobiene,8,96.000000
Sjoerd,8,96.636364
Jack Sun,8,89.000000
Camila,8,
Short Stay Group,8,
Dario,8,83.000000
Alex,8,93.425000
Kiki,8,95.727273
Enneke,8,84.500000
Nadia,8,94.250000
Tanneke,8,88.200000
★Guilherme★,7,96.666667
Rogier & Nicole,7,96.428571
Christine Pieternella,7,87.000000
BnB Beheer,7,93.166667
